Customer_ID,Age,Monthly_Income_INR,Existing_EMI_INR,Monthly_Expenses_INR,Credit_Score,Savings_Balance_INR,Loan_Amount_INR,Loan_Tenure_Months,Interest_Rate_Percent,Employment_Years,Previous_Late_Payments,Loan_Purpose,Monthly_Disposable_Income_INR,Loan_Default_Risk
CUST0001,25,62600,17200,31100,709,215200,563000,12,14.0,7,1,Home renovation,17600,Low Risk
CUST0002,52,33100,4500,12800,691,89200,244000,24,15.4,9,1,Business,5200,Low Risk
CUST0003,47,152400,31200,43500,717,417100,1748000,60,12.4,12,2,Education,84500,Low Risk
CUST0004,39,133700,6100,62200,811,376100,2337000,12,11.7,14,0,Business,59000,Low Risk
CUST0005,38,139900,19000,38800,524,440200,2647000,24,15.6,8,2,Vehicle,87200,High Risk
CUST0006,55,151500,37900,66700,639,92300,3330000,12,13.8,9,3,Vehicle,46800,High Risk
CUST0007,25,102200,19100,40200,731,175800,1098000,24,13.0,2,0,Vehicle,31900,Low Risk
CUST0008,49,119000,17400,61400,562,278700,1491000,48,17.2,6,4,Business,37700,High Risk
CUST0009,29,53400,14100,22400,800,86400,437000,24,14.1,11,0,Home renovation,19800,Low Risk
CUST0010,25,49500,12100,23100,714,170300,752000,36,13.2,7,1,Home renovation,19200,High Risk
CUST0011,42,134300,15800,41200,751,287000,2949000,36,14.9,8,1,Vehicle,76200,Low Risk
CUST0012,60,104100,17800,59100,640,329700,1792000,48,14.7,10,4,Education,39500,High Risk
CUST0013,50,118500,18700,37200,748,410900,1840000,12,14.8,9,2,Vehicle,70700,Low Risk
CUST0014,51,149000,28600,41200,768,330400,1829000,60,12.6,12,0,Medical,77100,Low Risk
CUST0015,49,129100,15500,56900,703,474400,2665000,48,13.8,8,1,Vehicle,62700,Low Risk
CUST0016,52,116700,11500,44700,703,293300,1628000,24,14.1,5,2,Education,76000,Low Risk
CUST0017,42,117600,30500,58100,706,407000,958000,48,16.8,8,0,Education,44700,Low Risk
CUST0018,26,78500,20500,38600,618,127700,930000,60,15.8,0,2,Medical,9600,High Risk
CUST0019,54,36700,8900,9700,673,80600,260000,24,13.4,8,1,Education,10700,Low Risk
CUST0020,39,98800,27100,52400,673,228500,912000,60,15.1,0,2,Vehicle,31200,Low Risk
CUST0021,41,64800,14200,22100,715,50400,407000,36,13.2,0,0,Vehicle,20000,Low Risk
CUST0022,36,94500,21100,39700,763,173400,1252000,48,12.3,9,0,Medical,23100,Low Risk
CUST0023,29,162600,36300,54200,602,602000,2626000,60,16.1,9,0,Medical,68200,Low Risk
CUST0024,58,67800,10500,37300,675,181100,779000,36,14.2,2,0,Vehicle,23400,Low Risk
CUST0025,52,40900,6100,15500,801,42500,520000,48,12.5,4,0,Education,18500,Low Risk
CUST0026,47,75100,7300,21600,627,121700,1603000,36,14.9,12,2,Education,41000,High Risk
CUST0027,37,76900,15000,31000,621,83800,1387000,48,15.3,5,4,Vehicle,25500,High Risk
CUST0028,54,133300,14600,73200,701,65200,1953000,48,14.2,16,2,Education,39800,Low Risk
CUST0029,43,117200,11900,60900,751,438200,1237000,24,11.0,7,0,Medical,37400,Low Risk
CUST0030,39,151900,27400,71000,686,305900,3091000,36,14.6,8,1,Education,71800,Low Risk
CUST0031,39,133600,18500,70200,789,201400,1304000,36,11.4,13,0,Medical,47300,Low Risk
CUST0032,30,94200,8700,48800,752,240600,1056000,12,11.5,7,0,Medical,43800,Low Risk
CUST0033,25,156500,36900,70200,751,66700,3215000,12,12.9,2,1,Business,45500,Low Risk
CUST0034,43,57500,14200,24500,728,80600,832000,36,13.4,6,1,Home renovation,17300,Low Risk
CUST0035,56,35500,2800,18200,850,104000,635000,12,10.8,7,0,Medical,8800,Low Risk
