age,monthly_income_inr,employment_type,years_employed,education_level,marital_status,dependents,residence_type,years_at_address,loan_amount_inr,loan_term_months,loan_purpose,existing_loans,monthly_debt_payments_inr,credit_score,late_payments_last_12m,savings_balance_inr,account_tenure_years,has_guarantor,loan_default
45,44000,Contract,0,Postgraduate,Single,4,Family,23,1370000,12,Education,2,38000,714,1,75000,16,Yes,1
28,70000,Salaried,4,Graduate,Married,0,Rented,10,990000,12,Education,0,39000,734,0,85000,5,No,1
31,154000,Self-employed,0,High school,Single,0,Family,12,440000,24,Vehicle,1,26000,491,2,335000,1,No,1
43,152000,Salaried,8,High school,Single,4,Family,21,890000,12,Business,2,17000,782,2,775000,6,Yes,0
35,116000,Salaried,3,High school,Married,4,Family,1,950000,60,Education,3,69000,547,0,425000,11,No,1
56,43000,Salaried,26,High school,Single,2,Owned,14,250000,12,Business,0,29000,677,0,140000,10,No,0
47,130000,Salaried,18,Postgraduate,Married,3,Owned,13,1460000,36,Home improvement,0,57000,840,3,65000,7,Yes,0
42,76000,Salaried,6,Postgraduate,Single,3,Rented,7,860000,12,Medical,2,36000,675,3,180000,4,No,1
55,96000,Salaried,22,Postgraduate,Married,3,Rented,5,1360000,48,Business,2,54000,564,0,445000,6,Yes,1
61,129000,Contract,14,Graduate,Married,2,Rented,23,1030000,36,Business,3,47000,638,2,705000,17,Yes,1
37,119000,Contract,0,Graduate,Single,1,Family,7,1420000,48,Business,0,33000,728,0,555000,0,No,0
37,93000,Salaried,7,Graduate,Single,0,Family,3,1260000,36,Vehicle,0,2000,747,0,55000,9,No,0
50,74000,Contract,14,High school,Married,1,Rented,14,1200000,24,Home improvement,1,58000,821,1,590000,9,Yes,0
58,52000,Contract,0,High school,Married,2,Rented,23,430000,24,Education,1,38000,671,1,715000,16,Yes,1
43,118000,Self-employed,0,High school,Married,2,Rented,15,1570000,24,Business,2,16000,528,0,85000,11,Yes,0
45,134000,Self-employed,0,Postgraduate,Single,0,Family,23,930000,48,Home improvement,2,63000,622,1,550000,9,No,0
