age,annual_income_inr,account_balance_inr,tenure_years,credit_score,credit_utilization,missed_payments_12m,existing_loans,monthly_transactions,employment_type,account_type,region,risk_category
52,61730,124078,13,850,0.28,3,2,54,Self-employed,Savings,North,Moderate Risk
66,28467,671442,7,606,0.69,0,1,9,Self-employed,Savings,North,High Risk
60,105697,515440,9,631,0.38,2,1,35,Self-employed,Salary,East,Moderate Risk
57,38062,743186,7,838,0.74,0,3,37,Self-employed,Savings,South,Very Low Risk
54,72353,77231,6,510,0.38,1,1,11,Business owner,Salary,North,Very High Risk
27,34615,107709,12,594,0.6,3,1,11,Salaried,Current,North,Very High Risk
33,68063,983645,19,667,0.61,4,2,24,Salaried,Savings,West,Low Risk
60,157422,806730,10,696,0.22,0,0,32,Business owner,Savings,South,Very Low Risk
37,114438,256274,3,740,0.88,1,0,12,Salaried,Current,East,Low Risk
61,151821,905445,12,833,0.61,2,0,5,Self-employed,Savings,North,Very Low Risk
29,87258,435564,6,683,0.8,1,0,38,Salaried,Salary,East,Low Risk
37,132023,164702,5,809,0.59,2,3,19,Business owner,Current,West,Low Risk
67,104223,823807,20,474,0.13,2,0,24,Self-employed,Current,South,Low Risk
45,65253,926046,10,778,0.56,0,3,46,Self-employed,Salary,North,Very Low Risk
61,61456,661127,0,782,0.07,2,1,5,Business owner,Savings,East,Low Risk
49,86743,132107,17,809,0.75,3,4,33,Business owner,Current,East,Moderate Risk
24,151216,260840,6,588,0.44,0,2,3,Salaried,Savings,East,Moderate Risk
37,96919,113030,9,498,0.12,3,1,9,Salaried,Current,West,Very High Risk
45,62401,352347,17,482,0.57,1,3,13,Business owner,Savings,West,Very High Risk
50,87336,697255,10,520,0.55,3,3,8,Business owner,Current,North,Very High Risk
68,58034,872571,12,492,0.21,0,4,26,Business owner,Current,South,High Risk
56,79296,408661,10,843,0.78,1,1,54,Business owner,Savings,South,Very Low Risk
37,101590,875749,13,570,0.61,1,1,23,Salaried,Salary,North,Low Risk
62,159021,220246,14,809,0.69,2,4,18,Business owner,Salary,East,Very Low Risk
41,139157,322590,2,641,0.4,3,1,22,Self-employed,Savings,West,High Risk
37,77657,202495,10,795,0.72,0,0,42,Salaried,Salary,South,Moderate Risk
22,115653,211574,8,487,0.14,3,0,51,Salaried,Salary,South,Very High Risk
41,39024,915134,10,591,0.76,3,2,50,Salaried,Current,East,High Risk
31,96054,292643,8,651,0.84,4,1,45,Self-employed,Salary,West,Very High Risk
49,36791,877232,13,512,0.37,3,0,5,Salaried,Salary,East,High Risk
53,98450,947224,19,480,0.18,0,1,28,Self-employed,Current,South,Very Low Risk
67,43141,485560,10,713,0.86,0,1,53,Self-employed,Savings,South,Moderate Risk
45,148384,453926,6,548,0.64,1,1,35,Business owner,Savings,North,High Risk
65,79880,590849,4,487,0.36,2,1,27,Self-employed,Savings,West,Very High Risk
65,121998,692037,12,730,0.85,3,1,34,Salaried,Current,East,Low Risk
23,118954,683110,16,482,0.41,0,2,40,Business owner,Salary,South,Low Risk
58,82345,257527,0,833,0.48,2,1,49,Business owner,Salary,South,Low Risk
57,26892,466945,16,512,0.37,3,3,27,Business owner,Salary,North,Very High Risk
55,90611,244541,6,806,0.52,2,2,36,Business owner,Salary,East,Low Risk
28,138884,111127,18,768,0.66,1,3,7,Salaried,Current,North,Low Risk
39,125344,452900,12,793,0.73,0,3,5,Business owner,Current,South,Very Low Risk
34,122486,167710,18,497,0.28,0,3,30,Self-employed,Savings,South,High Risk
65,70686,652892,8,703,0.6,3,4,30,Salaried,Salary,West,High Risk
49,158083,85675,9,557,0.24,1,1,7,Salaried,Current,North,Moderate Risk
53,55939,212427,3,502,0.41,3,1,37,Salaried,Savings,West,Very High Risk
58,111999,289135,1,526,0.74,2,4,23,Business owner,Salary,West,Very High Risk
53,44160,580445,11,488,0.11,0,4,48,Self-employed,Salary,West,Very High Risk
29,97891,541754,2,522,0.58,4,1,23,Self-employed,Salary,North,Very High Risk
26,70447,44458,12,484,0.68,1,1,25,Self-employed,Current,South,Very High Risk
65,124879,194019,5,496,0.33,0,0,51,Business owner,Salary,West,High Risk
