age,monthly_income_inr,employment_type,years_employed,education_level,marital_status,dependents,residence_type,years_at_address,loan_amount_inr,loan_term_months,loan_purpose,existing_loans,monthly_debt_payments_inr,credit_score,late_payments_last_12m,savings_balance_inr,account_tenure_years,has_guarantor,loan_default
32,56000,Self-employed,4,Graduate,Single,2,Family,2,990000,12,Medical,0,14000,678,0,265000,3,No,0
39,42000,Self-employed,11,Graduate,Single,0,Rented,21,100000,36,Education,2,17000,724,0,170000,3,No,0
60,60000,Self-employed,17,High school,Single,1,Family,16,240000,24,Home improvement,1,23000,641,1,225000,14,No,0
30,67000,Self-employed,0,Graduate,Single,0,Owned,12,890000,60,Vehicle,1,21000,597,1,95000,12,No,0
30,50000,Salaried,4,Postgraduate,Single,2,Owned,12,150000,60,Medical,1,11000,633,3,245000,12,Yes,1
38,89000,Salaried,13,High school,Single,4,Rented,14,1110000,36,Personal,0,10000,700,1,130000,9,No,0
38,49000,Contract,5,Postgraduate,Single,1,Rented,9,530000,36,Home improvement,2,18000,635,3,135000,13,No,0
36,151000,Self-employed,7,Postgraduate,Married,2,Owned,18,570000,24,Vehicle,2,61000,483,2,180000,9,No,1
60,73000,Self-employed,2,Graduate,Married,2,Rented,17,1850000,24,Home improvement,1,15000,731,1,265000,17,No,0
28,43000,Salaried,0,Graduate,Single,3,Family,10,1770000,48,Personal,0,11000,638,0,180000,3,No,0
48,97000,Salaried,11,Postgraduate,Married,3,Owned,14,1850000,60,Home improvement,1,33000,634,2,355000,13,No,1
39,84000,Salaried,2,Graduate,Married,3,Rented,7,450000,24,Personal,1,33000,778,0,320000,12,Yes,0
27,66000,Contract,3,High school,Married,0,Family,9,760000,48,Medical,0,15000,783,1,190000,9,No,0
48,121000,Salaried,14,High school,Married,1,Family,25,1080000,48,Personal,0,33000,773,0,65000,3,No,0
59,67000,Contract,21,Graduate,Single,0,Family,10,460000,48,Business,2,32000,664,2,265000,12,Yes,1
56,20000,Contract,23,Graduate,Married,1,Owned,3,920000,24,Personal,0,3000,698,1,40000,5,No,0
50,78000,Salaried,19,Graduate,Married,1,Rented,21,1680000,60,Home improvement,0,27000,681,2,240000,10,Yes,1
