transaction_id,transaction_datetime,transaction_amount_inr,transaction_channel,merchant_category,customer_region,device_type,account_age_months,available_balance_inr,monthly_income_inr,credit_limit_inr,credit_utilization_pct,transactions_last_24h,avg_transaction_amount_30d_inr,failed_logins_last_24h,distance_from_usual_location_km,international_transaction,card_present,prior_disputes_12m,is_fraud
TXN000001,2025-04-19 13:36:00,1294.46,mobile_app,,Hyderabad,card_terminal,59,56324.23,18170.53,66264.8,60.6,4,1897.78,0,13.1,1,0,0,0
TXN000002,2025-05-23 18:58:00,956.35,ATM,cash_withdrawal,Other,card_terminal,129,180262.98,64345.05,117417.29,61.3,1,1311.76,2,17.1,0,1,0,0
TXN000003,2025-11-17 08:55:00,1576.45,mobile_app,restaurants,Mumbai,Android,34,63690.93,61944.55,174783.14,37.7,3,2525.18,3,33.3,0,0,2,0
TXN000004,2025-01-30 04:24:00,3467.67,mobile_app,fuel,Bengaluru,Android,81,19233.57,37814.77,142356.37,15.0,1,1725.23,4,10.0,0,0,0,0
TXN000005,2025-09-03 04:04:00,3302.44,POS,fuel,Chennai,iOS,10,17519.74,78127.35,122304.21,52.3,1,4726.21,0,,0,1,0,0
TXN000006,2025-01-08 08:35:00,1480.86,ecommerce,restaurants,Chennai,Android,47,111076.06,35154.78,129787.19,46.8,4,,0,11.1,0,0,0,0
TXN000007,2025-05-17 00:00:00,1536.82,POS,restaurants,Hyderabad,card_terminal,34,39761.01,92766.3,171364.57,48.8,1,1523.07,0,62.8,0,1,0,0
TXN000008,2025-04-07 21:04:00,1333.52,POS,fashion,Hyderabad,desktop,2,265672.09,71403.63,267995.18,55.8,0,1955.21,0,19.2,0,1,2,0
TXN000009,2025-02-15 05:02:00,36765.76,mobile_app,electronics,Hyderabad,Android,20,58104.83,,531858.3,11.6,1,5410.84,0,1.8,0,0,0,0
TXN000010,2025-09-05 13:04:00,273.63,ecommerce,electronics,Delhi,Android,125,288165.66,,112426.17,60.8,3,981.47,1,2145.4,0,0,1,0
TXN000011,2025-10-08 21:23:00,2073.0,POS,electronics,Chennai,card_terminal,10,18658.38,37969.16,135509.04,,0,3568.78,0,,1,1,0,0
TXN000012,2025-08-19 17:33:00,4866.05,ecommerce,cash_withdrawal,Pune,card_terminal,34,82906.81,41907.84,37532.59,38.2,1,3365.28,0,12.2,0,0,0,0
TXN000013,2025-01-07 01:09:00,679.7,POS,fashion,Other,iOS,159,56342.68,50655.08,207637.14,22.2,1,1799.58,0,20.5,0,0,0,0
TXN000014,2025-06-24 09:41:00,462.5,POS,fashion,Mumbai,Android,4,5551.54,28187.69,82629.81,36.9,3,631.15,0,54.7,0,0,0,1
TXN000015,2025-06-12 01:35:00,3457.32,mobile_app,restaurants,Chennai,desktop,141,363607.05,,295428.93,83.3,7,2040.05,0,25.5,0,0,0,1
TXN000016,2025-05-25 05:44:00,4964.68,POS,electronics,Bengaluru,iOS,173,128376.29,42446.84,182365.97,51.1,1,4204.6,0,38.1,0,1,0,0
TXN000017,2025-03-06 23:43:00,819.94,ATM,fashion,Bengaluru,card_terminal,95,216632.33,69873.44,61321.93,44.0,13,479.38,0,4.3,0,1,0,0
TXN000018,2025-03-22 15:49:00,267.72,POS,groceries,Mumbai,Android,125,17240.0,51121.23,156357.11,,2,1590.26,1,3.0,0,1,0,0
TXN000019,2025-12-31 12:00:00,977.29,ecommerce,electronics,Hyderabad,card_terminal,74,134991.06,90271.25,153815.27,64.7,10,,4,37.6,0,0,1,0
TXN000020,2025-03-02 10:56:00,2280.55,ecommerce,groceries,Delhi,Android,101,165552.16,82576.42,351259.24,31.6,1,1689.61,0,30.7,0,0,0,0
TXN000021,2025-10-25 11:24:00,2003.1,mobile_app,fashion,Bengaluru,Android,160,202125.16,64075.35,162761.95,26.6,3,3327.63,1,36.2,0,0,0,0
TXN000022,2025-12-14 08:16:00,686.0,mobile_app,utilities,Hyderabad,card_terminal,21,59041.66,75316.48,203835.74,94.9,3,1751.82,0,38.2,0,0,1,0
TXN000023,2025-08-24 19:52:00,5969.04,POS,electronics,Hyderabad,card_terminal,171,332497.0,113306.26,146795.5,19.3,5,1994.02,0,,0,1,0,0
TXN000024,2025-08-12 13:30:00,3292.57,ATM,utilities,Hyderabad,desktop,170,148347.29,52326.86,215279.51,68.3,4,4652.46,0,2.1,0,1,0,0
TXN000025,2025-06-21 06:47:00,1953.47,POS,restaurants,Hyderabad,card_terminal,16,56901.1,44139.34,43603.45,57.1,14,3910.18,2,31.0,0,1,0,0
