application_id,applicant_age,annual_income_inr,loan_amount_inr,loan_term_months,credit_score,existing_emis_inr,employment_years,missed_payments_12m,credit_utilization_pct,savings_balance_inr,property_owner,employment_type,loan_purpose,residence_type,education_level,dependents,previous_loans,channel,default_next_12m
01000001,43,1284331,1328716,47,605,55225,15,3,7,69804,Yes,Contract,Home improvement,Rented,School,5,1,Online,1
01000002,56,1798166,1526367,0,577,72964,20,6,71,698777,No,Contract,Education,Family,Postgraduate,0,4,Agent,0
01000003,68,491716,1244017,18,827,22772,20,7,87,1071749,No,Contract,Home improvement,Rented,Graduate,1,9,Agent,1
01000004,31,591318,1143363,8,757,70027,14,4,45,61775,No,Contract,Personal,Family,School,1,0,Agent,1
01000005,51,500491,3133599,33,697,56500,3,0,70,156983,Yes,Salaried,Personal,Rented,Graduate,3,7,Branch,1
01000006,57,1316402,985660,60,815,45119,16,0,48,245559,Yes,Contract,Vehicle,Rented,Graduate,1,2,Branch,0
01000007,23,2617402,2548979,3,664,36927,17,1,83,898299,Yes,Contract,Personal,Rented,School,4,4,Online,0
01000008,57,2576693,1086386,62,605,22311,9,6,16,242899,No,Salaried,Home improvement,Owned,School,1,10,Online,0
01000009,34,2006821,1826987,75,675,42256,3,3,15,1136782,Yes,Contract,Vehicle,Family,Postgraduate,2,0,Agent,1
01000010,40,527769,1217542,69,533,62710,10,7,6,617321,Yes,Contract,Personal,Rented,School,2,2,Agent,0
01000011,65,2701288,1537363,28,736,62618,9,7,14,1166758,No,Self-employed,Education,Owned,Postgraduate,3,8,Branch,1
01000012,25,2041617,2584410,48,818,45429,24,4,85,950483,Yes,Contract,Personal,Family,Postgraduate,2,9,Branch,1
01000013,49,2016491,1659644,21,554,28480,14,6,14,815254,Yes,Contract,Vehicle,Owned,Graduate,1,7,Online,1
01000014,63,1065919,2620039,18,602,72608,6,4,49,118473,Yes,Self-employed,Home improvement,Rented,Graduate,4,10,Branch,1
