transaction_id,customer_age,transaction_amount_inr,account_age_months,transactions_last_hour,distance_from_home_km,merchant_risk_score,device_change_7d,failed_pin_attempts,hour_of_day,card_present,international_txn,merchant_category,payment_channel,device_type,customer_segment,weekday,avg_transaction_inr,city_tier,is_fraud
02000001,31,24022,49,4,183,71,2,5,22,No,Yes,Dining,POS,Android,Mass,0,9,Tier 2,1
02000002,45,133069,46,5,82,66,1,1,15,No,Yes,Electronics,ATM,iOS,Preferred,6,4,Tier 3,0
02000003,43,101134,39,21,14,86,10,5,3,No,No,Travel,Online,iOS,Premium,6,7,Tier 1,1
02000004,38,143617,30,23,64,18,6,1,11,No,Yes,Dining,POS,Android,Mass,7,0,Tier 3,1
02000005,44,143011,36,2,297,43,2,5,23,Yes,No,Dining,Online,Android,Premium,1,0,Tier 1,1
02000006,52,9424,66,15,474,25,9,0,22,Yes,Yes,Grocery,ATM,Web,Mass,3,3,Tier 3,1
02000007,24,3860,47,11,30,37,4,3,9,No,Yes,Grocery,POS,Web,Premium,7,9,Tier 2,0
02000008,22,38346,61,8,576,12,6,0,4,Yes,No,Travel,Online,iOS,Preferred,4,5,Tier 1,1
02000009,60,3119,23,18,199,32,10,4,7,No,Yes,Electronics,Online,Web,Premium,10,3,Tier 2,1
02000010,40,77338,45,5,436,68,3,5,9,Yes,Yes,Travel,POS,Android,Preferred,3,10,Tier 3,1
02000011,42,126773,36,7,88,88,0,3,0,Yes,No,Dining,Online,Web,Premium,4,1,Tier 2,1
02000012,69,16343,37,18,41,62,10,4,8,Yes,No,Grocery,ATM,Android,Premium,10,8,Tier 1,1
02000013,43,47150,23,12,312,16,1,5,14,No,No,Fuel,POS,iOS,Preferred,9,3,Tier 2,0
02000014,56,177261,32,8,690,76,2,0,23,No,No,Electronics,ATM,Web,Preferred,2,10,Tier 3,1
02000015,27,27921,50,16,498,5,1,1,22,Yes,No,Grocery,ATM,Web,Preferred,4,8,Tier 1,0
02000016,26,108096,55,0,53,7,1,5,18,No,Yes,Grocery,ATM,iOS,Preferred,4,10,Tier 1,0
02000017,25,18064,51,21,354,21,10,3,22,No,Yes,Electronics,ATM,iOS,Preferred,10,0,Tier 1,0
02000018,43,146108,28,1,355,63,7,2,1,Yes,Yes,Fuel,Online,Android,Preferred,6,2,Tier 2,0
02000019,48,46195,24,18,66,66,0,5,17,Yes,Yes,Dining,ATM,iOS,Preferred,1,9,Tier 2,0
02000020,26,16364,65,14,109,70,3,2,6,Yes,Yes,Grocery,Online,Android,Mass,4,10,Tier 1,1
02000021,41,123343,21,0,504,45,9,3,12,Yes,No,Fuel,POS,Android,Premium,4,0,Tier 3,0
02000022,32,110982,35,9,670,68,3,4,2,Yes,No,Fuel,Online,Web,Mass,9,8,Tier 1,1
02000023,55,167149,47,19,493,78,6,0,14,Yes,No,Electronics,ATM,iOS,Mass,9,9,Tier 2,0
02000024,26,118343,28,10,661,55,0,3,14,No,Yes,Travel,Online,Web,Premium,7,8,Tier 2,1
02000025,21,153908,42,12,230,41,1,4,0,No,No,Fuel,POS,Android,Mass,6,8,Tier 1,1
02000026,24,127179,65,7,580,46,6,1,23,No,No,Grocery,ATM,Web,Mass,1,4,Tier 1,0
02000027,35,104831,38,1,30,57,5,3,2,Yes,No,Fuel,ATM,Web,Premium,10,2,Tier 3,1
02000028,25,49776,51,18,585,51,0,4,1,No,Yes,Electronics,POS,Android,Mass,9,1,Tier 1,1
02000029,64,41311,24,14,55,53,10,0,20,Yes,No,Fuel,ATM,Web,Preferred,5,0,Tier 3,0
02000030,37,39041,48,3,16,50,8,0,11,No,No,Travel,ATM,Web,Premium,6,7,Tier 3,0
02000031,35,139256,68,14,528,60,5,3,22,No,No,Travel,ATM,Android,Preferred,10,5,Tier 2,1
02000032,24,102796,56,5,306,73,4,4,11,Yes,Yes,Travel,ATM,iOS,Premium,8,6,Tier 2,1
