contact_id,customer_age,account_balance_inr,last_contact_days_ago,campaign_contacts,prior_campaign_successes,call_duration_seconds,bank_tenure_years,monthly_income_inr,savings_products_count,housing_loan,personal_loan,occupation,education,contact_method,contact_month,marital_status,digital_active,branch_visits_3m,subscribed
03000001,36,532410,143,11,5,410,7,1351920,0,No,No,Professional,School,Email,Jan,Married,No,4,1
03000002,69,429794,120,11,4,293,3,2100264,1,No,No,Business,Postgraduate,Branch,Sep,Other,No,9,0
03000003,56,670659,91,4,7,536,17,1879384,2,Yes,Yes,Professional,Graduate,Phone,Sep,Married,Yes,2,1
03000004,30,614140,128,7,5,327,25,1578441,5,Yes,No,Professional,Graduate,Phone,Nov,Married,Yes,10,1
03000005,64,700822,82,11,7,598,13,2464760,6,Yes,No,Business,School,Email,Jan,Other,Yes,5,1
03000006,38,940021,12,7,5,507,23,250744,4,No,Yes,Professional,School,Phone,Mar,Other,No,8,1
03000007,61,380268,22,1,3,532,17,2345945,3,No,Yes,Professional,Graduate,Phone,Mar,Married,No,10,1
03000008,58,902413,97,4,1,83,5,1546483,6,No,No,Professional,Graduate,Email,Mar,Married,No,0,0
03000009,48,681517,125,11,2,421,4,2777731,6,Yes,No,Service,Graduate,Branch,Nov,Single,Yes,9,0
03000010,34,156219,123,7,9,193,1,268050,7,Yes,No,Retired,Postgraduate,Email,Jun,Other,Yes,4,1
03000011,45,140594,75,3,7,257,25,2382231,1,No,No,Retired,School,Phone,Jan,Married,No,10,1
03000012,21,1196341,76,11,9,500,13,776696,4,No,Yes,Professional,School,Email,Mar,Married,No,4,1
03000013,37,518275,20,6,8,191,14,1621971,5,No,No,Business,Postgraduate,Phone,Nov,Other,Yes,1,1
03000014,61,149014,91,6,9,598,5,2581329,2,No,Yes,Business,School,Phone,Mar,Married,No,8,1
03000015,32,886141,24,3,0,250,8,962223,7,No,No,Service,Graduate,Email,Nov,Single,Yes,2,0
03000016,61,632408,17,3,8,32,9,2667271,2,Yes,Yes,Retired,Postgraduate,Email,Jan,Single,No,11,0
03000017,52,467575,166,1,10,306,16,1631056,6,Yes,No,Service,School,Branch,Jan,Other,Yes,3,1
03000018,62,1068032,91,10,8,188,18,1406288,1,No,Yes,Retired,School,Email,Mar,Single,Yes,7,0
03000019,23,807374,153,3,1,546,13,294442,7,Yes,No,Business,Graduate,Phone,Jan,Married,Yes,3,0
03000020,41,482751,65,4,0,375,3,2667607,3,Yes,Yes,Business,Graduate,Phone,Jun,Other,Yes,5,0
03000021,60,80522,81,12,5,320,6,1554081,0,Yes,Yes,Retired,School,Phone,Jan,Married,No,12,0
03000022,52,304755,109,6,0,176,16,2615761,5,No,Yes,Business,School,Branch,Nov,Single,Yes,7,0
03000023,29,440298,117,5,9,588,23,2727884,2,No,Yes,Business,Postgraduate,Email,Sep,Married,No,10,1
03000024,30,279803,74,6,0,217,2,1500350,7,No,No,Professional,Postgraduate,Branch,Mar,Other,No,10,0
03000025,23,287689,105,1,2,478,17,1035055,7,No,Yes,Professional,Graduate,Branch,Jun,Single,No,12,1
03000026,64,854393,12,6,4,301,3,2266827,5,Yes,Yes,Business,School,Phone,Mar,Single,No,12,1
03000027,41,742084,41,2,10,428,5,1476855,7,Yes,No,Service,Graduate,Phone,Mar,Single,No,3,0
03000028,28,287232,16,9,3,271,15,2476695,8,Yes,No,Business,Postgraduate,Branch,Jun,Single,Yes,10,0
03000029,51,823918,40,12,2,614,13,1943678,7,Yes,Yes,Service,Postgraduate,Phone,Mar,Other,Yes,0,1
03000030,43,736964,33,10,7,537,20,2213554,0,No,No,Retired,Postgraduate,Email,Sep,Single,No,3,0
03000031,66,256655,12,9,1,563,11,1546429,4,No,No,Professional,School,Phone,Jan,Married,No,1,1
03000032,58,1017840,94,10,4,191,15,2586353,7,No,Yes,Retired,Graduate,Phone,Jun,Single,No,3,1
03000033,22,1071585,159,5,7,217,4,2380557,8,Yes,Yes,Professional,Postgraduate,Branch,Jun,Married,Yes,12,0
03000034,58,1177367,177,4,6,354,17,1622067,4,Yes,Yes,Service,School,Branch,Mar,Single,No,2,0
03000035,54,1156068,54,1,8,571,18,1809321,8,Yes,No,Business,School,Phone,Sep,Married,No,12,1
03000036,52,645156,149,9,8,460,25,1768740,2,Yes,No,Business,Graduate,Phone,Nov,Married,No,1,0
03000037,62,19692,108,4,3,448,18,997144,2,No,No,Professional,School,Phone,Mar,Married,No,10,0
03000038,63,652625,85,6,9,379,22,2976927,4,No,No,Professional,Graduate,Phone,Nov,Single,No,3,1
03000039,21,1147840,82,7,6,525,14,1371480,8,No,Yes,Service,Postgraduate,Email,Jun,Other,Yes,3,1
03000040,54,1162083,127,1,7,648,15,967959,2,No,Yes,Retired,School,Email,Jan,Married,No,12,0
03000041,53,212423,49,1,8,255,24,1665873,0,No,No,Retired,Postgraduate,Branch,Jun,Single,No,12,0
03000042,69,770119,62,12,1,80,23,2092175,7,Yes,No,Professional,Graduate,Phone,Nov,Married,Yes,5,0
03000043,31,524437,64,1,6,189,22,308626,7,No,No,Business,Graduate,Email,Nov,Married,Yes,8,1
03000044,63,651343,98,11,4,127,18,921369,3,Yes,Yes,Professional,School,Branch,Jun,Single,Yes,4,0
03000045,49,486759,111,8,3,494,20,1839451,3,No,No,Professional,Postgraduate,Branch,Mar,Single,Yes,10,1
03000046,56,848395,87,5,10,461,22,2776111,2,No,Yes,Service,Postgraduate,Phone,Mar,Other,Yes,1,1
03000047,61,419785,81,12,8,463,9,1114670,8,Yes,No,Service,Graduate,Branch,Jun,Married,No,6,0
03000048,44,1116581,110,2,3,517,13,1751468,8,Yes,Yes,Business,School,Branch,Mar,Other,Yes,10,0
03000049,66,227687,92,2,2,454,18,1023537,5,Yes,Yes,Professional,Postgraduate,Branch,Mar,Single,No,8,0
03000050,60,48911,93,1,0,599,5,2078238,1,Yes,Yes,Business,Postgraduate,Email,Jun,Single,No,6,0
03000051,62,980615,173,5,0,562,21,2662267,5,No,Yes,Retired,Graduate,Branch,Jun,Other,Yes,5,0
03000052,51,570840,77,6,5,344,12,2026828,5,No,Yes,Professional,Postgraduate,Phone,Sep,Single,Yes,2,1
03000053,60,291453,138,7,9,111,10,1703379,4,No,No,Retired,School,Phone,Jun,Other,Yes,6,0
03000054,23,331541,104,1,9,354,25,2460915,0,Yes,Yes,Business,Postgraduate,Branch,Mar,Other,Yes,7,0
03000055,61,396460,68,8,10,137,16,560950,0,Yes,No,Service,Graduate,Email,Jan,Single,Yes,1,0
03000056,28,191724,140,12,7,308,13,1974890,7,No,Yes,Retired,Postgraduate,Phone,Sep,Other,No,6,1
03000057,45,1126181,72,9,5,599,6,2804897,1,No,Yes,Business,Postgraduate,Branch,Sep,Single,Yes,9,1
03000058,42,985184,45,6,6,586,21,2632660,1,No,Yes,Service,Postgraduate,Branch,Mar,Single,No,11,1
03000059,38,11610,117,2,4,79,8,779903,7,Yes,Yes,Service,Graduate,Email,Nov,Single,No,12,1
03000060,26,400597,174,3,7,235,23,2642024,5,No,Yes,Retired,School,Branch,Jun,Married,No,0,0
03000061,22,753990,45,7,10,578,4,1943222,0,Yes,No,Business,Graduate,Phone,Sep,Single,Yes,11,1
03000062,50,611181,167,12,0,382,24,2057363,2,No,No,Professional,Graduate,Branch,Nov,Single,No,0,1
03000063,51,162787,48,7,0,475,18,1623415,5,Yes,No,Retired,School,Phone,Jun,Single,No,1,0
03000064,56,246960,125,10,2,438,24,2322527,0,Yes,Yes,Professional,School,Email,Mar,Other,Yes,3,0
03000065,36,971703,13,7,5,498,15,1308497,4,Yes,Yes,Business,Postgraduate,Branch,Jan,Married,No,1,1
03000066,45,864979,1,1,0,158,25,2341430,5,No,Yes,Business,Graduate,Branch,Sep,Married,Yes,10,0
03000067,27,869212,25,6,6,118,0,2190884,8,No,Yes,Service,School,Email,Mar,Married,No,11,0
03000068,34,955582,21,4,2,632,2,764345,7,Yes,No,Business,Postgraduate,Branch,Sep,Other,Yes,7,0
03000069,58,925892,54,3,3,62,3,1819847,0,No,Yes,Business,School,Email,Mar,Married,No,11,0
03000070,59,349616,166,6,4,85,25,725965,2,Yes,No,Business,School,Branch,Nov,Other,No,4,1
03000071,39,650725,147,2,4,214,9,2864085,0,Yes,Yes,Retired,Graduate,Phone,Sep,Other,No,2,1
