customer_id,age,tenure_months,average_balance_inr,products_held,monthly_transactions,complaints_6m,mobile_logins_30d,fee_charges_6m,days_since_last_login,salary_credit,has_credit_card,account_type,service_rating,branch_region,preferred_channel,relationship_tier,missed_calls_3m,autopay_enabled,churned
04000001,67,46,63,6,79,3,18,10,115,Yes,Yes,Current,2,Rural,Phone,Gold,9,No,0
04000002,41,28,39,2,52,8,0,5,108,No,No,Savings,4,Metro,App,Standard,10,No,0
04000003,43,23,62,5,56,4,45,3,111,Yes,Yes,Current,2,Rural,Phone,Standard,3,No,1
04000004,38,54,59,5,41,8,13,1,74,Yes,Yes,Salary,1,Rural,Phone,Gold,2,Yes,0
04000005,63,84,27,4,40,7,5,9,119,Yes,No,Salary,5,Urban,Branch,Platinum,0,No,1
04000006,23,68,29,2,65,7,30,4,21,No,No,Savings,1,Rural,App,Platinum,4,No,0
04000007,42,65,59,6,10,0,50,7,101,No,Yes,Salary,3,Urban,Phone,Gold,10,No,0
04000008,56,19,43,1,53,0,3,7,110,No,No,Current,3,Rural,Phone,Standard,0,Yes,0
04000009,66,4,53,6,7,4,38,2,149,Yes,No,Current,2,Metro,App,Gold,7,Yes,0
04000010,40,71,23,1,28,1,31,10,77,Yes,No,Salary,4,Urban,Phone,Gold,1,No,0
04000011,50,81,36,2,43,5,31,3,114,Yes,No,Salary,4,Rural,Phone,Platinum,10,Yes,1
04000012,24,14,25,4,9,7,54,1,116,Yes,Yes,Savings,3,Rural,Phone,Gold,6,Yes,1
04000013,58,60,58,1,45,2,0,6,93,Yes,No,Current,2,Metro,App,Platinum,5,No,0
04000014,39,9,51,4,59,8,1,10,64,No,Yes,Current,5,Metro,Phone,Platinum,10,Yes,1
04000015,58,16,66,3,14,8,17,1,89,Yes,Yes,Current,4,Rural,Branch,Platinum,2,Yes,1
04000016,30,59,29,1,28,5,10,6,125,Yes,Yes,Salary,5,Urban,App,Platinum,9,Yes,1
04000017,22,42,40,3,41,1,2,9,14,Yes,No,Salary,2,Urban,Branch,Standard,0,Yes,0
