mortgage_application_id,applicant_age,gross_income_inr,property_value_inr,down_payment_inr,requested_mortgage_inr,credit_score,debt_to_income_pct,employment_years,recent_delinquencies,property_type,employment_category,coapplicant,property_city_tier,existing_mortgage,documentation_complete,savings_inr,loan_term_years,property_usage,preapproved
05000001,62,851858,4233468,1482976,23,622,61,24,10,Plot,Self-employed,Yes,Tier 3,No,No,1086557,22,Investment,0
05000002,62,1425630,10648589,4122506,45,823,65,1,8,Plot,Business,No,Tier 1,Yes,No,675673,14,Investment,1
05000003,66,389061,5858207,1919367,52,745,13,10,9,Independent house,Salaried,Yes,Tier 3,No,No,111539,16,Self occupied,1
05000004,39,1505027,11905394,1360280,61,511,85,25,2,Independent house,Salaried,Yes,Tier 2,Yes,Yes,63026,17,Self occupied,0
05000005,53,1098814,17400824,140916,38,482,39,5,9,Plot,Self-employed,Yes,Tier 2,Yes,Yes,1257619,25,Investment,1
05000006,33,1143783,1824391,5569404,61,742,61,18,9,Apartment,Self-employed,Yes,Tier 3,Yes,No,692296,19,Investment,1
05000007,46,1461912,13684777,611023,26,803,49,17,0,Apartment,Business,No,Tier 2,Yes,Yes,1787227,20,Investment,0
05000008,49,699655,17393838,3366966,44,623,7,10,6,Independent house,Business,No,Tier 1,No,No,43886,1,Self occupied,0
05000009,68,2707222,11738205,803057,39,488,18,11,5,Apartment,Business,No,Tier 1,No,No,386760,1,Self occupied,0
05000010,55,2392390,4761907,1626226,33,591,78,13,3,Apartment,Salaried,Yes,Tier 1,Yes,No,605041,4,Self occupied,1
05000011,67,877039,16194724,3670720,34,680,87,4,9,Apartment,Business,No,Tier 3,Yes,No,958181,1,Self occupied,1
05000012,25,1189877,4274670,4027611,41,692,52,18,4,Independent house,Self-employed,Yes,Tier 1,No,No,1606535,12,Investment,1
05000013,30,656353,4217646,3931419,31,638,72,24,9,Apartment,Salaried,No,Tier 2,Yes,Yes,1552059,20,Investment,1
05000014,24,1924963,16845423,483812,67,502,84,13,3,Apartment,Self-employed,Yes,Tier 2,No,No,760027,2,Self occupied,1
05000015,48,2591652,3659960,2849997,65,833,67,15,6,Plot,Business,Yes,Tier 3,No,Yes,922977,14,Investment,1
05000016,28,2314819,8067405,3543477,44,832,14,3,9,Plot,Salaried,No,Tier 3,Yes,No,1519529,6,Self occupied,0
05000017,58,730285,16716357,3481601,48,632,50,0,10,Independent house,Business,Yes,Tier 2,No,No,1135887,23,Investment,1
05000018,35,1949029,1746797,4372343,57,574,29,9,9,Independent house,Business,No,Tier 3,Yes,Yes,615254,2,Self occupied,0
05000019,60,997735,11842782,997578,23,719,81,2,10,Plot,Business,No,Tier 3,Yes,Yes,776305,12,Investment,1
05000020,54,525142,3591111,2259635,63,588,88,25,5,Apartment,Salaried,Yes,Tier 2,No,No,292192,22,Investment,0
05000021,46,2973721,13672187,4486472,26,693,79,11,10,Apartment,Self-employed,Yes,Tier 2,Yes,Yes,1179682,3,Self occupied,1
05000022,61,2138179,2580076,4600555,49,483,78,22,1,Independent house,Self-employed,No,Tier 2,No,Yes,958997,16,Investment,0
05000023,60,1332713,13355895,4804515,34,734,34,1,3,Plot,Self-employed,No,Tier 3,No,No,1778146,13,Self occupied,1
05000024,56,2673679,3184446,443368,60,712,68,16,5,Plot,Self-employed,Yes,Tier 2,No,No,1195977,18,Investment,1
05000025,45,841096,4838614,5449444,50,682,63,25,8,Plot,Business,Yes,Tier 2,No,No,1748949,6,Self occupied,1
05000026,51,2363378,3801546,3463758,23,706,77,6,3,Apartment,Salaried,No,Tier 3,No,Yes,385226,1,Investment,0
05000027,27,2085824,10859945,4818690,42,492,84,1,10,Plot,Business,No,Tier 1,Yes,No,1662716,22,Investment,0
05000028,63,718597,4982855,2094169,28,711,84,0,10,Independent house,Salaried,No,Tier 2,Yes,Yes,458519,19,Investment,0
05000029,61,1153238,9671813,125508,47,722,42,25,0,Independent house,Self-employed,Yes,Tier 1,No,Yes,701900,0,Investment,1
05000030,62,709202,15973954,4546158,39,649,32,5,7,Apartment,Self-employed,Yes,Tier 1,No,Yes,508142,3,Self occupied,1
05000031,23,2379239,7041887,1027184,31,646,25,1,1,Apartment,Salaried,Yes,Tier 2,Yes,No,115408,17,Self occupied,0
05000032,32,2044078,12774864,3092100,46,734,72,4,8,Independent house,Self-employed,Yes,Tier 3,No,Yes,1287555,0,Investment,0
05000033,55,2762340,12040690,777883,21,483,55,5,2,Plot,Business,No,Tier 2,Yes,Yes,219576,8,Investment,0
05000034,67,267968,5096797,3409465,66,537,59,23,3,Independent house,Salaried,No,Tier 1,Yes,Yes,758811,0,Investment,1
05000035,28,2806593,15994192,3242622,61,792,70,6,5,Independent house,Business,Yes,Tier 2,No,No,1070053,0,Self occupied,1
05000036,42,2687294,6760269,3266196,56,616,94,15,2,Apartment,Salaried,Yes,Tier 3,Yes,Yes,1356528,1,Investment,1
05000037,27,538824,2849791,4715784,48,752,28,3,6,Plot,Self-employed,No,Tier 1,Yes,Yes,374273,12,Investment,1
05000038,23,886835,1586737,358398,66,568,73,24,10,Independent house,Salaried,Yes,Tier 3,Yes,Yes,96827,15,Investment,0
05000039,22,940399,9401966,3512823,63,597,14,15,9,Independent house,Business,Yes,Tier 1,No,Yes,1731207,15,Investment,1
05000040,47,367329,7072193,5029657,21,758,69,19,2,Apartment,Self-employed,Yes,Tier 1,No,Yes,695071,10,Investment,1
05000041,36,734770,15411611,3267002,41,606,5,7,8,Apartment,Business,Yes,Tier 3,No,No,308193,15,Investment,1
05000042,30,2910522,5748462,4053134,64,636,52,10,7,Independent house,Salaried,Yes,Tier 2,Yes,Yes,1279028,2,Self occupied,1
05000043,27,1051474,1651017,543478,53,674,42,10,1,Independent house,Salaried,Yes,Tier 2,Yes,No,186708,7,Self occupied,1
05000044,39,1244226,14960439,694622,29,775,77,8,3,Apartment,Self-employed,Yes,Tier 2,Yes,No,460609,9,Investment,1
05000045,26,2248185,17084373,5545004,59,571,49,8,3,Independent house,Salaried,No,Tier 1,No,Yes,400117,16,Self occupied,1
05000046,37,2271018,13501097,3003943,35,761,24,9,3,Plot,Self-employed,Yes,Tier 1,Yes,No,874218,25,Investment,0
05000047,29,855453,17521580,234385,42,694,76,8,5,Plot,Salaried,No,Tier 2,No,Yes,1163906,24,Self occupied,1
05000048,69,1566143,2963121,1512824,57,621,93,15,10,Independent house,Business,No,Tier 1,No,Yes,1089945,7,Investment,1
05000049,54,1856887,8581934,5644071,34,492,93,18,7,Independent house,Salaried,Yes,Tier 2,No,Yes,1623825,23,Investment,0
05000050,30,993399,9203797,4039993,38,561,21,4,1,Independent house,Self-employed,No,Tier 1,No,Yes,1112888,8,Self occupied,0
05000051,31,771233,12198817,4364896,52,713,45,6,3,Independent house,Self-employed,Yes,Tier 2,Yes,Yes,437160,1,Investment,0
05000052,28,811564,16058074,4005694,35,721,53,13,7,Independent house,Business,Yes,Tier 2,Yes,No,920547,6,Investment,1
05000053,27,1852076,16360252,983933,51,830,31,17,4,Plot,Salaried,No,Tier 3,No,Yes,56545,23,Self occupied,1
05000054,60,880083,9737371,5427167,29,725,82,1,8,Apartment,Business,Yes,Tier 3,No,Yes,1604637,22,Investment,1
05000055,55,1865746,8473537,5849208,53,747,65,4,3,Plot,Business,Yes,Tier 3,No,No,1486136,16,Investment,1
05000056,45,2989825,9068997,5249460,27,789,29,14,0,Plot,Salaried,Yes,Tier 1,No,No,578113,13,Investment,1
05000057,42,2431883,1706287,3140133,58,564,75,6,10,Independent house,Self-employed,No,Tier 2,Yes,Yes,493087,7,Investment,1
05000058,48,2827880,2286775,5493104,27,694,71,14,0,Plot,Salaried,No,Tier 3,No,Yes,340641,6,Investment,1
05000059,44,2319343,17979424,3105106,21,808,90,3,6,Independent house,Salaried,Yes,Tier 1,No,No,1524077,23,Self occupied,0
05000060,26,1169687,2923735,575959,26,812,7,15,5,Plot,Business,Yes,Tier 3,No,Yes,1437730,0,Investment,0
05000061,32,2779208,17877121,4140691,56,705,34,11,9,Apartment,Self-employed,Yes,Tier 1,Yes,Yes,1140166,6,Investment,0
05000062,27,665268,3154894,3314509,41,655,61,14,1,Independent house,Business,No,Tier 1,No,No,980852,2,Self occupied,1
05000063,69,1828301,3909314,479162,41,778,13,20,5,Apartment,Salaried,Yes,Tier 3,No,Yes,627773,15,Self occupied,0
05000064,40,1377228,14386886,2950331,31,705,32,17,1,Apartment,Business,Yes,Tier 3,No,Yes,113763,18,Self occupied,0
05000065,29,1964770,7563814,1535710,68,589,95,20,8,Apartment,Salaried,Yes,Tier 1,Yes,Yes,1537554,4,Self occupied,0
05000066,68,1297107,7614938,1388374,61,683,61,16,3,Plot,Business,No,Tier 3,Yes,Yes,720367,18,Investment,0
05000067,40,1668061,14520860,2664176,25,586,5,13,10,Independent house,Self-employed,No,Tier 2,Yes,Yes,273247,22,Investment,1
05000068,42,1108010,13961398,1763246,33,682,57,19,0,Apartment,Salaried,Yes,Tier 1,Yes,No,1352723,25,Investment,0
05000069,65,2073357,10385587,2428081,34,759,25,2,3,Apartment,Business,Yes,Tier 2,No,Yes,36843,9,Investment,0
05000070,43,408566,4794556,2140424,37,583,22,12,6,Plot,Business,No,Tier 2,Yes,No,92832,5,Self occupied,0
05000071,40,959130,17789498,2035874,32,566,51,14,4,Apartment,Salaried,No,Tier 2,No,No,722954,2,Self occupied,0
05000072,38,1398196,4167594,594823,42,655,22,16,8,Plot,Self-employed,Yes,Tier 3,No,Yes,33415,11,Self occupied,0
05000073,49,270851,3019711,4400063,50,847,8,17,8,Apartment,Self-employed,No,Tier 3,Yes,No,208955,6,Investment,0
05000074,61,2869713,7704043,4531495,57,620,43,12,3,Plot,Salaried,Yes,Tier 1,Yes,No,1387127,25,Self occupied,1
05000075,64,1842199,17807148,4557444,31,556,88,5,4,Apartment,Salaried,No,Tier 3,Yes,Yes,704669,16,Investment,1
05000076,55,472959,12113144,692878,43,533,22,7,7,Independent house,Self-employed,Yes,Tier 1,Yes,No,346966,12,Investment,0
05000077,68,1304789,8491453,3228594,38,608,6,14,1,Apartment,Salaried,Yes,Tier 1,Yes,No,1591982,3,Self occupied,0
05000078,33,1915681,2196274,1963326,46,506,71,5,7,Plot,Business,No,Tier 3,Yes,No,748782,9,Self occupied,1
05000079,54,411850,17030046,1904749,68,846,8,17,6,Plot,Salaried,Yes,Tier 2,No,No,471091,25,Investment,1
