offer_id,customer_age,monthly_income_inr,bank_tenure_years,dependents,monthly_spend_inr,life_cover_existing_inr,savings_balance_inr,products_held,last_offer_response_score,home_owner,marital_status,occupation_group,contact_channel,policy_type,risk_appetite,branch_visits_6m,app_sessions_30d,recent_life_event,accepted_offer
06000001,21,1502667,15,2,41169,2729582,891311,6,21,No,Other,Business,Email,Life,Medium,0,37,No,1
06000002,48,1916339,17,0,115364,3332411,535931,3,95,Yes,Married,Salaried,App,Accident,Low,12,14,No,1
06000003,36,1316495,1,5,67009,238796,278321,3,31,No,Single,Salaried,App,Health,Medium,11,20,Yes,0
06000004,22,426938,11,1,95060,1486382,845495,5,87,Yes,Married,Salaried,App,Accident,Medium,12,52,No,1
06000005,59,1952547,13,3,135107,1519338,940711,2,78,No,Married,Salaried,Phone,Life,High,0,23,No,0
06000006,27,2770415,19,0,47724,713,39217,3,91,No,Other,Salaried,Phone,Life,Low,3,32,No,1
06000007,38,724517,17,3,90371,4439521,415248,4,25,Yes,Married,Professional,Email,Life,High,4,4,Yes,1
06000008,61,1980938,23,3,158058,475259,896815,3,84,Yes,Other,Professional,App,Accident,High,1,45,Yes,1
06000009,65,2362806,2,0,130307,2557017,269600,2,38,No,Married,Business,App,Accident,Medium,0,40,Yes,0
06000010,58,2357301,4,5,152641,1043188,831470,1,67,No,Married,Professional,Phone,Health,Medium,9,49,No,1
06000011,54,2982859,1,1,77437,417307,1068135,6,25,Yes,Single,Business,App,Accident,Medium,3,22,Yes,1
06000012,23,1680817,16,0,51465,1457170,605481,3,60,Yes,Other,Professional,Phone,Accident,Medium,12,4,No,0
06000013,37,1272721,21,0,86507,1281738,403414,2,72,No,Married,Salaried,Phone,Life,Medium,11,48,No,0
06000014,38,1460201,21,2,21031,4228442,133394,3,41,No,Married,Professional,App,Accident,Medium,3,3,No,0
06000015,43,567653,15,0,74765,545361,638665,4,64,Yes,Married,Salaried,Phone,Health,High,5,55,Yes,0
06000016,64,1669549,18,1,174308,2687957,247368,5,75,Yes,Single,Professional,Phone,Life,Medium,11,22,Yes,0
06000017,69,515384,17,5,16395,3042588,839508,6,49,No,Single,Professional,Phone,Accident,High,11,27,No,0
06000018,34,1226559,8,0,149640,2559843,137543,3,88,No,Married,Business,App,Life,High,10,14,Yes,1
06000019,38,258713,19,2,68127,4372252,515061,6,47,No,Single,Business,Phone,Health,Medium,2,43,Yes,1
06000020,37,1013088,17,1,74149,943065,536187,3,70,No,Other,Business,App,Life,Low,6,1,No,0
06000021,66,529689,9,3,137506,4391011,443594,3,74,No,Married,Business,Email,Life,High,12,53,Yes,1
06000022,58,1412925,18,0,29573,4172720,305111,3,30,No,Single,Business,Phone,Health,Low,0,55,Yes,0
06000023,57,1246740,11,5,163318,2417190,363950,6,52,No,Married,Salaried,Phone,Accident,Medium,3,9,Yes,1
06000024,63,1239985,23,0,104101,2496314,98203,4,87,Yes,Other,Professional,Phone,Health,Medium,3,51,Yes,0
06000025,63,733719,1,3,8118,154239,511715,2,89,Yes,Married,Salaried,Email,Health,High,5,47,Yes,0
06000026,47,1320930,11,0,143382,13945,1114838,6,36,Yes,Married,Professional,Phone,Accident,High,5,40,Yes,0
06000027,39,1312574,25,5,48348,3403523,170130,2,78,No,Other,Salaried,App,Health,High,10,23,Yes,0
06000028,58,800373,23,4,5976,4229348,414930,1,22,Yes,Married,Professional,Phone,Life,High,10,37,Yes,0
06000029,42,414410,18,3,137489,1529288,431928,1,33,Yes,Other,Salaried,Email,Health,Low,2,46,No,1
06000030,40,461592,15,1,95105,3418028,759406,6,38,No,Married,Salaried,Email,Health,High,3,6,No,1
06000031,45,607303,20,2,29099,4216780,255129,2,74,Yes,Single,Professional,Email,Health,Low,6,15,No,0
06000032,68,951500,20,0,144153,956452,985767,6,95,No,Other,Professional,Phone,Accident,Medium,12,32,No,1
06000033,68,1437271,24,3,34043,3282205,525041,3,77,No,Single,Professional,Email,Accident,High,5,40,Yes,0
06000034,39,1971052,4,3,51850,61176,1184672,4,62,No,Married,Salaried,Email,Accident,Medium,6,52,Yes,1
06000035,33,336483,2,2,9325,3055287,1149147,6,76,Yes,Single,Salaried,Phone,Life,High,1,45,Yes,1
06000036,67,715770,10,2,7286,4236322,108435,3,33,Yes,Married,Business,Email,Accident,High,0,22,No,1
06000037,53,1761191,24,4,178699,3510397,532613,4,77,No,Single,Professional,App,Health,High,2,6,No,1
06000038,64,1310065,8,4,10556,2954737,1173903,5,50,No,Married,Salaried,Email,Health,High,5,34,Yes,1
06000039,36,1652464,16,1,111690,4026854,342276,4,27,No,Single,Professional,App,Accident,Medium,2,47,Yes,1
06000040,62,303282,23,4,104966,2928228,1128423,6,85,Yes,Other,Professional,Email,Health,Low,10,54,No,1
06000041,69,1465461,21,5,28107,3307732,17345,3,83,Yes,Other,Business,Phone,Life,Medium,12,10,No,0
06000042,59,1207964,20,4,176654,123697,247883,6,33,Yes,Single,Business,Phone,Life,Medium,3,12,Yes,1
06000043,43,520091,1,3,99360,1911523,448147,6,88,No,Married,Business,Email,Life,Low,11,1,No,0
06000044,30,2299093,24,4,41520,673972,803650,6,80,No,Other,Salaried,Email,Accident,Medium,0,26,Yes,1
06000045,66,2526890,17,1,105672,743831,368868,6,54,No,Other,Salaried,Email,Accident,Low,7,14,Yes,1
06000046,61,417494,12,1,8788,3820100,521176,5,83,Yes,Married,Business,Email,Accident,Medium,4,22,Yes,1
06000047,56,954660,16,4,73910,20371,1147263,1,34,Yes,Married,Salaried,App,Life,Low,0,32,No,0
06000048,67,2700402,1,0,95319,2958696,1188926,1,33,Yes,Single,Professional,Phone,Life,High,11,42,No,0
06000049,33,833398,11,4,177414,151227,934417,1,45,No,Single,Professional,Phone,Life,Low,8,9,No,0
06000050,48,943379,6,5,132929,3655394,1019918,6,53,Yes,Other,Salaried,Email,Accident,Low,9,35,Yes,1
06000051,41,1413065,23,1,111748,4481461,807268,5,51,Yes,Other,Business,App,Accident,Medium,5,0,No,1
06000052,50,2881661,6,4,50568,2519726,497002,3,37,Yes,Other,Business,App,Accident,Medium,7,28,Yes,0
