dispute_id,customer_age,disputed_amount_inr,days_to_report,merchant_refund_attempts,transaction_age_days,device_seen_before,otp_verified,merchant_risk_score,prior_disputes_12m,transaction_type,merchant_category,card_network,authentication_method,evidence_submitted,merchant_response,customer_tenure_months,transaction_country,account_segment,dispute_upheld
07000001,27,2438,20,1,54,No,Yes,52,1,ATM,Electronics,RuPay,None,No,Agreed,69,India,Standard,0
07000002,66,47781,111,2,63,Yes,No,48,3,Card purchase,Electronics,RuPay,None,No,Agreed,28,India,Standard,0
07000003,62,134487,142,1,21,Yes,Yes,33,5,Card purchase,Electronics,RuPay,Biometric,Yes,Rejected,49,India,Premium,1
07000004,35,148124,120,3,65,Yes,No,40,3,Card purchase,Dining,RuPay,OTP,Yes,Agreed,45,International,Standard,1
07000005,26,168792,110,1,65,Yes,Yes,77,3,Card purchase,Travel,RuPay,None,No,Rejected,26,International,Premium,0
07000006,39,165969,30,4,43,Yes,No,20,3,Card purchase,Fuel,RuPay,None,Yes,Rejected,6,India,Standard,0
07000007,42,151242,22,4,51,Yes,Yes,64,1,ATM,Fuel,Mastercard,None,No,Agreed,14,India,Standard,1
07000008,39,51066,46,2,35,Yes,No,10,3,Card purchase,Travel,RuPay,Biometric,Yes,Agreed,13,India,Standard,1
07000009,59,37219,168,3,33,No,No,39,2,Transfer,Electronics,Mastercard,OTP,Yes,Agreed,42,India,Standard,0
07000010,24,140127,164,2,58,No,Yes,36,2,ATM,Dining,Visa,None,Yes,Pending,57,International,Standard,0
07000011,36,98263,174,5,44,No,No,37,4,ATM,Travel,RuPay,None,No,Pending,81,India,Premium,1
07000012,54,71920,73,3,52,Yes,No,30,2,ATM,Travel,Visa,OTP,No,Rejected,64,India,Premium,1
07000013,60,100143,161,0,49,No,Yes,38,2,Card purchase,Electronics,Visa,None,Yes,Agreed,75,International,Standard,1
07000014,63,160378,9,5,40,No,Yes,23,1,ATM,Fuel,Visa,Biometric,No,Rejected,6,International,Premium,0
07000015,31,90609,14,2,61,No,Yes,55,0,ATM,Travel,Mastercard,PIN,No,Rejected,41,India,Standard,1
07000016,61,169538,171,4,46,Yes,Yes,18,5,Card purchase,Dining,RuPay,None,No,Rejected,72,International,Standard,0
07000017,39,103398,23,5,22,Yes,No,67,3,Transfer,Electronics,Visa,PIN,Yes,Rejected,72,India,Premium,0
07000018,43,81804,34,3,33,No,No,16,2,ATM,Grocery,Visa,PIN,No,Agreed,47,International,Premium,0
07000019,22,146585,102,3,62,Yes,Yes,36,2,ATM,Grocery,Mastercard,None,Yes,Pending,44,India,Premium,1
07000020,65,173414,138,4,34,Yes,No,81,2,ATM,Dining,Mastercard,Biometric,No,Rejected,31,India,Standard,0
07000021,28,82048,130,5,37,No,No,35,1,Card purchase,Fuel,Visa,Biometric,No,Pending,57,International,Standard,0
