business_application_id,business_age_years,annual_revenue_inr,annual_profit_inr,loan_requested_inr,owner_credit_score,existing_business_debt_inr,monthly_cashflow_inr,tax_filing_years,late_payments_12m,industry,business_type,collateral_type,region,employee_count,has_audited_statements,owner_experience_years,bank_relationship_years,exporter,approved
08000001,33,30041881,4029305,599479,482,2256366,189119,3,4,Services,Proprietorship,None,South,4,No,23,0,Yes,1
08000002,45,3211333,2557622,2181941,570,3659065,592913,19,7,Agriculture,Private limited,Deposit,West,1,No,10,13,No,0
08000003,33,16647822,4986053,1684749,544,3500151,654103,1,1,Retail,Proprietorship,Deposit,East,2,Yes,17,2,No,0
08000004,27,20502236,7972531,509192,817,3991701,264461,18,6,Agriculture,Proprietorship,Property,West,6,No,25,17,Yes,1
08000005,24,31695188,5709931,2674539,775,2508876,254887,20,4,Agriculture,Private limited,None,North,7,No,25,14,Yes,1
08000006,28,26244049,2125195,5570331,674,1120635,672684,25,4,Services,Private limited,None,North,0,Yes,18,12,Yes,1
08000007,57,14114485,3244561,2906027,797,3758814,708003,12,2,Agriculture,Partnership,Deposit,North,5,No,15,11,Yes,0
08000008,37,22483628,4081205,3604631,490,2244283,551702,22,7,Agriculture,Proprietorship,Deposit,East,4,Yes,25,5,Yes,1
08000009,60,14066400,2402079,1231578,817,1553404,42250,1,0,Retail,Proprietorship,Property,South,2,No,23,22,Yes,0
08000010,46,26228475,6169649,5205265,600,1344445,711833,14,3,Retail,Proprietorship,Deposit,South,6,No,0,21,No,1
08000011,62,11389448,1997610,3885443,568,1431286,-20274,1,2,Retail,Partnership,Deposit,East,3,No,9,24,No,0
08000012,25,23252703,1888801,4385386,786,3711089,664347,5,3,Agriculture,Private limited,Deposit,West,0,No,8,15,No,0
08000013,25,26536680,3408728,4714179,649,714384,50805,14,0,Agriculture,Partnership,None,South,6,No,2,10,Yes,0
08000014,37,31695172,480228,1221577,783,2451996,55974,15,0,Agriculture,Private limited,Property,West,8,Yes,4,25,Yes,1
08000015,69,16422343,7019636,5006821,535,1681012,700229,23,4,Manufacturing,Partnership,Property,West,1,Yes,3,20,No,0
08000016,38,17319619,1262969,6262024,801,3699440,80051,19,1,Services,Partnership,Deposit,West,0,Yes,9,23,No,1
08000017,34,27017972,4426139,5096995,591,896255,74883,1,5,Agriculture,Proprietorship,Property,West,6,Yes,15,5,No,0
08000018,40,23190201,5270521,4831508,541,1296053,284050,17,7,Agriculture,Proprietorship,None,South,4,No,7,12,No,1
08000019,29,31218482,3315217,3069530,666,16884,-32059,18,3,Retail,Proprietorship,None,North,1,No,12,10,No,0
08000020,67,31151565,7219697,2629284,540,1734463,832378,21,2,Services,Private limited,None,East,4,Yes,6,2,Yes,0
08000021,56,4373694,680784,5257032,798,2949320,457692,10,4,Services,Proprietorship,None,North,6,Yes,0,17,No,1
08000022,30,29045664,4721616,1785829,623,1912092,227847,3,6,Manufacturing,Proprietorship,None,West,0,No,0,9,Yes,1
08000023,61,7336521,6945341,6357013,673,673942,52416,14,1,Agriculture,Proprietorship,None,West,6,Yes,24,13,Yes,1
08000024,46,18718653,4300019,2293630,812,2801927,687604,9,5,Agriculture,Partnership,Deposit,South,6,No,7,20,No,1
08000025,22,31840645,6486745,1949980,677,3955530,462978,21,7,Agriculture,Proprietorship,None,South,4,No,10,18,Yes,1
08000026,26,21458447,5738898,2114398,556,2005042,-73155,17,0,Services,Proprietorship,Deposit,East,7,Yes,7,3,No,0
08000027,22,32344407,3306386,4506404,710,3681312,82843,6,7,Retail,Partnership,Property,West,4,Yes,11,16,No,1
08000028,58,11950008,6192754,4173977,844,1517232,137782,15,2,Services,Proprietorship,None,South,7,No,16,8,Yes,1
08000029,30,17893752,1853348,917980,763,1946861,44463,23,3,Agriculture,Private limited,Property,North,6,No,22,7,Yes,0
08000030,67,13574006,7299996,3787840,593,2487427,63062,14,1,Agriculture,Proprietorship,None,East,2,Yes,12,6,Yes,0
08000031,68,11624619,6852418,4422987,571,3988348,269837,6,4,Services,Private limited,None,South,6,No,4,17,No,0
08000032,49,11581134,4861057,5080556,602,3811506,132148,1,6,Retail,Proprietorship,Property,West,1,No,15,15,No,0
08000033,43,7142650,7713285,3092936,588,3691972,634170,23,6,Retail,Partnership,Property,East,0,Yes,3,4,No,0
08000034,42,18847465,1011426,1994015,523,649676,471260,16,5,Services,Partnership,None,East,6,No,9,3,No,1
08000035,43,11569937,4993625,2789721,489,703585,845468,5,7,Services,Partnership,None,North,0,Yes,22,24,Yes,1
08000036,22,21011439,7486133,1499187,700,282142,533921,21,2,Retail,Private limited,Property,East,4,Yes,4,14,No,1
08000037,55,19308226,3688908,1872328,694,1159912,162431,3,4,Manufacturing,Private limited,None,South,8,Yes,4,2,Yes,0
08000038,38,15964457,4378443,7496649,515,1987213,432752,9,5,Retail,Partnership,Deposit,North,6,No,12,7,No,0
08000039,42,31868885,4410187,7456408,680,459606,610009,14,7,Services,Private limited,None,East,5,No,18,15,Yes,1
08000040,24,9892867,1139519,5180278,732,2151604,256744,25,7,Agriculture,Private limited,None,South,0,Yes,11,15,No,1
08000041,56,1341965,7250713,3765940,824,444371,697959,25,4,Agriculture,Private limited,Deposit,West,1,No,12,4,Yes,1
08000042,38,14695195,825764,7431086,708,172924,359097,16,1,Services,Private limited,None,East,7,No,22,25,No,0
08000043,41,23619294,4484533,1590488,749,345532,466219,10,3,Agriculture,Private limited,Deposit,South,5,Yes,4,19,Yes,1
08000044,43,9440703,5410851,5844576,752,1225663,393120,13,4,Services,Partnership,None,South,0,No,10,24,Yes,1
08000045,34,29029469,4600312,2990295,803,3031238,162040,9,6,Manufacturing,Proprietorship,Property,North,3,Yes,2,13,No,1
08000046,54,12393626,6439768,6772012,480,209322,671484,3,1,Manufacturing,Private limited,Property,South,5,No,19,16,Yes,0
08000047,29,22938285,6890953,7486916,819,314892,570539,11,7,Retail,Proprietorship,Deposit,East,6,No,12,18,Yes,1
08000048,36,20692395,7420121,6076230,733,3492582,696332,16,3,Agriculture,Private limited,Property,West,7,Yes,6,22,No,0
08000049,31,13423936,5769685,5107938,760,2402654,-44009,11,1,Retail,Private limited,Property,South,1,Yes,6,25,Yes,0
08000050,49,26410584,6913077,6335714,599,2165134,582230,5,6,Services,Private limited,Deposit,North,1,No,11,1,Yes,1
08000051,48,32700896,1261855,6070043,586,2692628,695676,12,4,Agriculture,Proprietorship,Deposit,North,7,Yes,10,16,Yes,1
08000052,21,22142067,465629,950765,761,1587184,837520,12,1,Retail,Proprietorship,Property,North,2,No,24,3,No,1
08000053,25,9894167,4334361,2292895,701,2504731,144889,15,3,Agriculture,Private limited,None,West,5,No,13,17,No,0
08000054,36,27075666,7616657,3023380,635,3199587,842687,23,7,Services,Private limited,Deposit,North,5,No,23,19,No,1
08000055,58,17470184,2921127,7016613,800,3279767,-26108,25,1,Retail,Proprietorship,None,West,5,No,8,22,Yes,0
08000056,24,32324687,1690627,3419922,544,2047137,554811,24,2,Agriculture,Partnership,Property,West,8,Yes,24,9,Yes,0
08000057,54,7960980,5471352,3595276,547,1567204,-18601,0,2,Manufacturing,Partnership,None,West,4,Yes,10,25,No,0
08000058,51,31015109,2461136,1629518,760,3611328,25029,16,6,Agriculture,Private limited,None,West,2,No,16,3,Yes,1
